"CCAR_BASEL_PRD_TP_NM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","GUARNT_PARTCPTN_PC","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
GENW_B_TNG_04_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_04_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_05_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_05_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_05_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_05_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_06_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_06_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_06_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_06_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_04_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_04_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_04_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_04_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_04_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_05_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_05_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_05_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_05_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_05_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_06_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_BNS_06_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_02_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_02_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_02_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_02_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_03_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_03_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_03_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_03_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_03_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_04_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_04_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_04_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_04_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_04_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_05_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_05_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_05_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_05_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_05_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_06_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_06_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_06_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_06_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_06_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_07_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_07_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_07_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_07_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_07_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_08_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_08_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_08_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_07_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_07_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_07_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_07_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_08_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_08_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_08_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_08_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_99_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_99_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_99_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_99_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_B_TNG_99_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_01_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_01_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_01_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_01_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_01_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_02_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_01_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_02_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_02_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_02_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_02_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_02_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_03_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_03_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_03_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_03_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_03_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_04_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_04_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_04_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_04_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_04_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_05_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_05_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_05_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_05_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_05_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_06_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_06_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_06_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_06_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_08_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_08_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_99_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_99_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_99_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_99_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_99_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_BNS_99_01_14,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_01_01_04,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_01_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_01_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_01_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_02_01_04,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_02_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_02_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_02_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_03_01_04,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_03_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_03_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_03_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_04_01_04,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_04_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_04_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_04_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_05_01_04,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_05_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_05_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_05_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_06_01_04,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_06_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_06_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_06_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_07_01_04,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_07_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_07_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_07_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_08_01_04,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_08_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_08_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_08_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_99_01_04,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_99_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_99_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_99_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENW_I_TNG_99_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENWORTH,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENWORTH - ING,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GENWORTH - TNG,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_01_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_01_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_01_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_01_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_07_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_07_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_07_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_08_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_08_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_08_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_08_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_08_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_99_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_99_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_99_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_99_01_12,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_99_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_99_01_14,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_01_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_01_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_01_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_01_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_02_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_02_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_02_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_02_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_03_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_03_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_03_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_03_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_04_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_04_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_04_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_04_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_05_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_05_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_05_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_05_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_06_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_06_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_06_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_06_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_07_01_09,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_BNS_07_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_99_01_10,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_B_TNG_99_01_11,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_01_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_01_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_01_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_01_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_01_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_02_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_02_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_02_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_02_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_02_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_03_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_03_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_03_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_03_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_03_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_04_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_04_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_04_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_04_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_04_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_05_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_05_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_05_01_07,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_05_01_08,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_05_01_13,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_06_01_05,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
GUAR_I_BNS_06_01_06,"200010","999912",90.0000,Y,2015-01-30-12.19.11.000000,2015-01-30-12.19.11.000000
