"CCAR_BASEL_PRD_TP_NM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","PRD_SHT_NM","EXPSR_SUB_TP_CD","BASEL_1_ASST_TP_CD","REGULATORY_PRD_TP_CD","PD_BAND_CD","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
CMHC - ING,"201604","999912",CMHCING                                 ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_01_01_09,"201604","999912",CMHCBBNS010109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_01_01_10,"201604","999912",CMHCBBNS010110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_02_01_10,"201604","999912",CMHCBBNS020110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_03_01_10,"201604","999912",CMHCBBNS030110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_04_01_10,"201604","999912",CMHCBBNS040110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_05_01_09,"201604","999912",CMHCBBNS050109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_05_01_11,"201604","999912",CMHCBBNS050111                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_05_01_12,"201604","999912",CMHCBBNS050112                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_05_01_13,"201604","999912",CMHCBBNS050113                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_06_01_10,"201604","999912",CMHCBBNS060110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_07_01_09,"201604","999912",CMHCBBNS070109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_07_01_11,"201604","999912",CMHCBBNS070111                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_07_01_12,"201604","999912",CMHCBBNS070112                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC,"201604","999912",CMHC                                    ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC - TNG,"201604","999912",CMHCTNG                                 ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_01_01_11,"201604","999912",CMHCBBNS010111                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_01_01_12,"201604","999912",CMHCBBNS010112                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_01_01_13,"201604","999912",CMHCBBNS010113                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_02_01_09,"201604","999912",CMHCBBNS020109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_02_01_11,"201604","999912",CMHCBBNS020111                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_02_01_12,"201604","999912",CMHCBBNS020112                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_02_01_13,"201604","999912",CMHCBBNS020113                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_03_01_09,"201604","999912",CMHCBBNS030109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_03_01_11,"201604","999912",CMHCBBNS030111                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_03_01_12,"201604","999912",CMHCBBNS030112                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_03_01_13,"201604","999912",CMHCBBNS030113                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_04_01_09,"201604","999912",CMHCBBNS040109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_08_01_09,"201604","999912",CMHCBBNS080109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_08_01_11,"201604","999912",CMHCBBNS080111                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_99_01_10,"201604","999912",CMHCBBNS990110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_01_01_09,"201604","999912",CMHCBTNG010109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_02_01_09,"201604","999912",CMHCBTNG020109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_03_01_09,"201604","999912",CMHCBTNG030109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_04_01_09,"201604","999912",CMHCBTNG040109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_04_01_10,"201604","999912",CMHCBTNG040110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_05_01_07,"201604","999912",CMHCBTNG050107                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_05_01_08,"201604","999912",CMHCBTNG050108                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_06_01_09,"201604","999912",CMHCBTNG060109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_06_01_10,"201604","999912",CMHCBTNG060110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_07_01_07,"201604","999912",CMHCBTNG070107                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_07_01_08,"201604","999912",CMHCBTNG070108                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_04_01_11,"201604","999912",CMHCBBNS040111                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_04_01_12,"201604","999912",CMHCBBNS040112                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_04_01_13,"201604","999912",CMHCBBNS040113                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_05_01_10,"201604","999912",CMHCBBNS050110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_06_01_09,"201604","999912",CMHCBBNS060109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_06_01_11,"201604","999912",CMHCBBNS060111                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_06_01_12,"201604","999912",CMHCBBNS060112                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_06_01_13,"201604","999912",CMHCBBNS060113                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_07_01_10,"201604","999912",CMHCBBNS070110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_07_01_13,"201604","999912",CMHCBBNS070113                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_99_01_09,"201604","999912",CMHCBBNS990109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_08_01_07,"201604","999912",CMHCBTNG080107                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_08_01_08,"201604","999912",CMHCBTNG080108                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_99_01_09,"201604","999912",CMHCBTNG990109                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_99_01_10,"201604","999912",CMHCBTNG990110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_01_01_05,"201604","999912",CMHCIBNS010105                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_01_01_07,"201604","999912",CMHCIBNS010107                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_01_01_08,"201604","999912",CMHCIBNS010108                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_01_01_13,"201604","999912",CMHCIBNS010113                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_02_01_05,"201604","999912",CMHCIBNS020105                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_02_01_07,"201604","999912",CMHCIBNS020107                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_02_01_08,"201604","999912",CMHCIBNS020108                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_02_01_13,"201604","999912",CMHCIBNS020113                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_05_01_03,"201604","999912",CONVUBNS050103                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_05_01_04,"201604","999912",CONVUBNS050104                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_06_01_13,"201604","999912",CONVUBNS060113                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_07_01_01,"201604","999912",CONVUBNS070101                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_07_01_02,"201604","999912",CONVUBNS070102                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_07_01_03,"201604","999912",CONVUBNS070103                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_07_01_13,"201604","999912",CONVUBNS070113                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_08_01_01,"201604","999912",CONVUBNS080101                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_08_01_02,"201604","999912",CONVUBNS080102                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_08_01_13,"201604","999912",CONVUBNS080113                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_99_01_13,"201604","999912",CONVUBNS990113                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_99_01_14,"201604","999912",CONVUBNS990114                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_TNG_01_01_01,"201604","999912",CONVUTNG010101                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_TNG_99_01_03,"201604","999912",CONVUTNG990103                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_TNG_99_01_11,"201604","999912",CONVUTNG990111                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
Direct Auto,"201604","999912",DIRAUTO                                 ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
Direct CASH/RRC,"201604","999912",DIRCASH                                 ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
Direct Unsec. Other,"201604","999912",DIRUNSOTH                               ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_AUTO_01_01_05,"201604","999912",DTLAUTO010105                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_AUTO_01_01_07,"201604","999912",DTLAUTO010107                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_AUTO_01_01_08,"201604","999912",DTLAUTO010108                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_AUTO_02_01_05,"201604","999912",DTLAUTO020105                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_AUTO_02_01_07,"201604","999912",DTLAUTO020107                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_CASH_01_01_02,"201604","999912",DTLCASH010102                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_CASH_01_01_03,"201604","999912",DTLCASH010103                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_CASH_01_01_04,"201604","999912",DTLCASH010104                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_03_01_05,"201604","999912",CMHCIBNS030105                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_03_01_07,"201604","999912",CMHCIBNS030107                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_BNS_03_01_08,"201604","999912",CMHCIBNS030108                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_99_01_11,"201604","999912",CMHCBBNS990111                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_99_01_12,"201604","999912",CMHCBBNS990112                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_99_01_13,"201604","999912",CMHCBBNS990113                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_BNS_99_01_14,"201604","999912",CMHCBBNS990114                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_01_01_07,"201604","999912",CMHCBTNG010107                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_01_01_08,"201604","999912",CMHCBTNG010108                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_01_01_10,"201604","999912",CMHCBTNG010110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_02_01_07,"201604","999912",CMHCBTNG020107                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_02_01_08,"201604","999912",CMHCBTNG020108                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_B_TNG_02_01_10,"201604","999912",CMHCBTNG020110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_TNG_08_01_05,"201604","999912",CMHCITNG080105                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_TNG_08_01_10,"201604","999912",CMHCITNG080110                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_TNG_99_01_05,"201604","999912",CMHCITNG990105                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CMHC_I_TNG_99_01_11,"201604","999912",CMHCITNG990111                          ,Residential Mortgage Exposures                    ,CMHC                                              ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV UNINS.,"201604","999912",CONVUNINS                               ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV UNINS. - ING,"201604","999912",CONVUNING                               ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV UNINS. - TNG,"201604","999912",CONVUNTNG                               ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_01_01_01,"201604","999912",CONVUBNS010101                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_01_01_02,"201604","999912",CONVUBNS010102                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_01_01_03,"201604","999912",CONVUBNS010103                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_01_01_04,"201604","999912",CONVUBNS010104                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_02_01_01,"201604","999912",CONVUBNS020101                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
CONV_U_BNS_02_01_02,"201604","999912",CONVUBNS020102                          ,Residential Mortgage Exposures                    ,Real Estate Secured                               ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_CASH_01_01_06,"201604","999912",DTLCASH010106                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_CASH_02_01_01,"201604","999912",DTLCASH020101                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_CASH_02_01_02,"201604","999912",DTLCASH020102                           ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
